,race,trackId,track,year,driver,team,grid,position,points,laps,total_race_time,fastestLap,pit_stop_mean_driver,pit_stop_mean_race,total_stops,pit_stop_total_time,prev_position,prev_points,prev_pit_mean_drv,prev_pit_mean_race,prev_total_stops,prev_total_race_time,prev_pit_total_time,prev_fast_lap
0,843,17,Chinese GP,2011,hamilton,mclaren,3,1,25,56,5818226,48,20659.333333333332,22299.241379310344,3,61978.0,0,0,0.0,0.0,0,0,0,0
1,843,17,Chinese GP,2011,vettel,red_bull,1,2,18,56,5823424,47,21764.0,22299.241379310344,2,43528.0,0,0,0.0,0.0,0,0,0,0
2,843,17,Chinese GP,2011,webber,red_bull,18,3,15,56,5825781,42,21888.333333333332,22299.241379310344,3,65665.0,0,0,0.0,0.0,0,0,0,0
3,843,17,Chinese GP,2011,button,mclaren,2,4,12,56,5828226,39,21924.666666666668,22299.241379310344,3,65774.0,0,0,0.0,0.0,0,0,0,0
4,843,17,Chinese GP,2011,rosberg,mercedes,4,5,10,56,5831674,41,21165.333333333332,22299.241379310344,3,63496.0,0,0,0.0,0.0,0,0,0,0
5,843,17,Chinese GP,2011,massa,ferrari,6,6,8,56,5834066,39,21396.0,22299.241379310344,2,42792.0,0,0,0.0,0.0,0,0,0,0
6,843,17,Chinese GP,2011,alonso,ferrari,5,7,6,56,5848848,41,21887.5,22299.241379310344,2,43775.0,0,0,0.0,0.0,0,0,0,0
7,843,17,Chinese GP,2011,michael_schumacher,mercedes,14,8,4,56,5849252,46,21295.333333333332,22299.241379310344,3,63886.0,0,0,0.0,0.0,0,0,0,0
8,843,17,Chinese GP,2011,petrov,renault,10,9,2,56,5875630,50,21993.0,22299.241379310344,2,43986.0,0,0,0.0,0.0,0,0,0,0
9,843,17,Chinese GP,2011,kobayashi,sauber,13,10,1,56,5881499,32,21895.5,22299.241379310344,2,43791.0,0,0,0.0,0.0,0,0,0,0
10,843,17,Chinese GP,2011,resta,force_india,8,11,0,56,5886983,45,21603.5,22299.241379310344,2,43207.0,0,0,0.0,0.0,0,0,0,0
11,843,17,Chinese GP,2011,heidfeld,renault,16,12,0,56,5890965,51,22018.5,22299.241379310344,2,44037.0,0,0,0.0,0.0,0,0,0,0
12,843,17,Chinese GP,2011,barrichello,williams,15,13,0,56,5908415,45,21595.0,22299.241379310344,2,43190.0,0,0,0.0,0.0,0,0,0,0
