,race,trackId,track,year,driver,team,grid,position,points,laps,total_race_time,fastestLap,pit_stop_mean_driver,pit_stop_mean_race,total_stops,pit_stop_total_time
0,843,17,Chinese GP,2011,hamilton,mclaren,3,1,25,56,5818226,48,20659.333333333332,22299.241379310344,3,61978.0
1,843,17,Chinese GP,2011,vettel,red_bull,1,2,18,56,5823424,47,21764.0,22299.241379310344,2,43528.0
2,843,17,Chinese GP,2011,webber,red_bull,18,3,15,56,5825781,42,21888.333333333332,22299.241379310344,3,65665.0
3,843,17,Chinese GP,2011,button,mclaren,2,4,12,56,5828226,39,21924.666666666668,22299.241379310344,3,65774.0
4,843,17,Chinese GP,2011,rosberg,mercedes,4,5,10,56,5831674,41,21165.333333333332,22299.241379310344,3,63496.0
5,843,17,Chinese GP,2011,massa,ferrari,6,6,8,56,5834066,39,21396.0,22299.241379310344,2,42792.0
6,843,17,Chinese GP,2011,alonso,ferrari,5,7,6,56,5848848,41,21887.5,22299.241379310344,2,43775.0
7,843,17,Chinese GP,2011,michael_schumacher,mercedes,14,8,4,56,5849252,46,21295.333333333332,22299.241379310344,3,63886.0
8,843,17,Chinese GP,2011,petrov,renault,10,9,2,56,5875630,50,21993.0,22299.241379310344,2,43986.0
9,843,17,Chinese GP,2011,kobayashi,sauber,13,10,1,56,5881499,32,21895.5,22299.241379310344,2,43791.0
10,843,17,Chinese GP,2011,resta,force_india,8,11,0,56,5886983,45,21603.5,22299.241379310344,2,43207.0
11,843,17,Chinese GP,2011,heidfeld,renault,16,12,0,56,5890965,51,22018.5,22299.241379310344,2,44037.0
12,843,17,Chinese GP,2011,barrichello,williams,15,13,0,56,5908415,45,21595.0,22299.241379310344,2,43190.0
13,843,17,Chinese GP,2011,buemi,toro_rosso,9,14,0,56,5908897,45,22886.666666666668,22299.241379310344,3,68660.0
14,844,5,Turkish GP,2011,vettel,red_bull,1,1,25,58,5417558,50,20402.25,22327.5125,4,81609.0
15,844,5,Turkish GP,2011,webber,red_bull,2,2,18,58,5426365,48,21100.25,22327.5125,4,84401.0
16,844,5,Turkish GP,2011,alonso,ferrari,5,3,15,58,5427633,48,21530.25,22327.5125,4,86121.0
17,844,5,Turkish GP,2011,hamilton,mclaren,4,4,12,58,5457790,48,24909.25,22327.5125,4,99637.0
18,844,5,Turkish GP,2011,rosberg,mercedes,3,5,10,58,5465097,47,21189.25,22327.5125,4,84757.0
19,844,5,Turkish GP,2011,button,mclaren,6,6,8,58,5476989,47,21808.0,22327.5125,3,65424.0
20,844,5,Turkish GP,2011,heidfeld,renault,9,7,6,58,5478415,52,21743.75,22327.5125,4,86975.0
21,844,5,Turkish GP,2011,petrov,renault,7,8,4,58,5485726,48,21561.25,22327.5125,4,86245.0
22,844,5,Turkish GP,2011,buemi,toro_rosso,16,9,2,58,5486952,44,21976.333333333332,22327.5125,3,65929.0
23,844,5,Turkish GP,2011,kobayashi,sauber,24,10,1,58,5495579,45,22577.0,22327.5125,3,67731.0
24,844,5,Turkish GP,2011,massa,ferrari,10,11,0,58,5497381,57,23375.0,22327.5125,4,93500.0
25,844,5,Turkish GP,2011,michael_schumacher,mercedes,8,12,0,58,5503002,47,23016.25,22327.5125,4,92065.0
26,845,4,Spanish GP,2011,vettel,red_bull,2,1,25,66,5943301,60,20214.5,21567.597402597403,4,80858.0
27,845,4,Spanish GP,2011,hamilton,mclaren,3,2,18,66,5943931,52,20364.25,21567.597402597403,4,81457.0
28,845,4,Spanish GP,2011,button,mclaren,5,3,15,66,5978998,63,20295.0,21567.597402597403,3,60885.0
29,845,4,Spanish GP,2011,webber,red_bull,1,4,12,66,5991267,50,20305.75,21567.597402597403,4,81223.0
30,846,6,Monaco GP,2011,vettel,red_bull,1,1,25,78,7778373,78,28536.0,26766.731707317074,1,28536.0
31,846,6,Monaco GP,2011,alonso,ferrari,4,2,18,78,7779511,77,28367.0,26766.731707317074,2,56734.0
32,846,6,Monaco GP,2011,button,mclaren,2,3,15,78,7780751,78,25457.0,26766.731707317074,3,76371.0
33,846,6,Monaco GP,2011,webber,red_bull,3,4,12,78,7801474,78,32002.0,26766.731707317074,2,64004.0
34,846,6,Monaco GP,2011,kobayashi,sauber,12,5,10,78,7805289,76,28642.0,26766.731707317074,1,28642.0
35,846,6,Monaco GP,2011,hamilton,mclaren,9,6,8,78,7805583,54,25923.0,26766.731707317074,3,77769.0
36,847,7,Canadian GP,2011,button,mclaren,7,1,25,70,14679537,69,23511.166666666668,24648.342465753423,6,141067.0
37,847,7,Canadian GP,2011,vettel,red_bull,1,2,18,70,14682246,69,23118.666666666668,24648.342465753423,3,69356.0
38,847,7,Canadian GP,2011,webber,red_bull,4,3,15,70,14693365,65,24906.0,24648.342465753423,3,74718.0
39,847,7,Canadian GP,2011,michael_schumacher,mercedes,8,4,12,70,14693756,70,23592.25,24648.342465753423,4,94369.0
40,847,7,Canadian GP,2011,petrov,renault,10,5,10,70,14699932,68,23980.5,24648.342465753423,2,47961.0
41,847,7,Canadian GP,2011,massa,ferrari,3,6,8,70,14712762,68,24633.5,24648.342465753423,4,98534.0
42,847,7,Canadian GP,2011,kobayashi,sauber,13,7,6,70,14712807,70,24152.5,24648.342465753423,2,48305.0
43,847,7,Canadian GP,2011,alguersuari,toro_rosso,24,8,4,70,14715501,69,24748.666666666668,24648.342465753423,3,74246.0
44,847,7,Canadian GP,2011,barrichello,williams,16,9,2,70,14724654,68,24028.5,24648.342465753423,4,96114.0
45,847,7,Canadian GP,2011,buemi,toro_rosso,15,10,1,70,14726593,69,24782.25,24648.342465753423,4,99129.0
46,847,7,Canadian GP,2011,rosberg,mercedes,6,11,0,70,14729991,69,22882.0,24648.342465753423,4,91528.0
